feature,legacy_global,pitcher_expert,regular_expert,futures_expert,mean_importance
recent_game_type_prior,0.0,47.00522421845056,0.046715670192064296,0.0,11.762984972160655
season,24.810510705803832,0.0,3.912291010479609,0.0,7.1807004290708605
game_type,22.069900764107192,0.0,0.0,0.0,5.517475191026798
asof_pitcher_prev5_game_success_rate,3.7234560096739577,5.268487732537388,5.39659701866336,4.580135076941463,4.742168959454042
asof_pitcher_success_rate,7.405426727409847,5.8314615795422,3.3766931523962302,2.034391089654217,4.661993137250623
asof_pitcher_ball_rate,2.9715505132886104,7.659332168069422,5.256554617920564,2.0561766040194946,4.485903475824523
same_hand,4.081680543991407,0.0,5.356442167513164,7.22069618914343,4.164704725162
pitcher_id,1.9681462812116213,0.0,8.659345721310551,2.863091945612573,3.3726459870336862
asof_pitcher_reverse_rate,2.9429653338455397,2.4073307716595163,4.644167437014344,2.6418900852898703,3.1590884069523177
hand_matchup_code,2.7749506741662056,0.0,3.1927151992671643,5.8917276080988294,2.96484837038305
recent_f_prior,0.0,9.47588161113383,0.6903097877389347,0.0,2.5415478497181914
batter_team_id,4.169047838115484,0.0,3.54177804788771,2.0103257233687013,2.430287902342974
pitcher_team_id,3.177318720080098,1.4165276449922013,3.5314309642637673,0.6151609292706984,2.1851095646516914
recent_global_prior,0.0,8.52062137568471,0.13889773155780694,0.0,2.164879776810629
pitcher_success_shrink_50,0.0,2.5374779717834675,4.070878089894983,1.6496724458938674,2.064507126893079
asof_pitcher_prev1_game_success_rate,1.825526981076993,2.0222229968292,2.0379433873101664,2.222967079721038,2.0271651112343494
asof_batter_middle_rate,0.4219115761520189,0.0,3.3029326520547184,2.372258780725559,1.5242757522330739
fastball_minus_offspeed,0.5367229583375003,0.0,2.0534546932834123,1.7924072438427503,1.0956462238659157
pitcher_reliability_50,0.3925030147703668,0.3803463576006358,1.6560880340662085,1.6649664006073663,1.0234759517611445
asof_pitcher_offspeed_rate,0.49927623527418347,0.6009326757263452,0.37640191174445525,2.4057176187133824,0.9705821103645915
asof_pitcher_prev3_game_success_rate,1.3470823625095523,0.9398827046547564,1.2808790749681307,0.16888149167408528,0.9341814084516311
balls_before,0.31142361495814724,0.0,1.1746095189212116,2.1015296663259253,0.8968907000513211
count_state_code,0.41741381972695857,0.0,1.9247944881050945,1.2444680084795943,0.8966690790779118
asof_pitcher_breaking_rate,0.058099253990997725,0.0,1.4758768366586488,1.7881408743509555,0.8305292412501505
inning,0.1898756889677439,0.0,2.098990605966129,0.9598794759110206,0.8121864427112234
strikes_before,0.08283699331516008,0.0,0.8077109619339932,2.2993604150020697,0.7974770925628057
asof_pitcher_strike_rate,0.30930887326021234,0.398757848383058,0.987056368704875,1.4230949203529835,0.7795545026752821
legacy_batter_relative_success,3.0919736454356697,0.0,0.0,0.0,0.7729934113589174
pitcher_success_shrink_200,0.0,0.6796686000324628,2.073114632647206,0.2735879975394576,0.7565928075547816
asof_batter_success_rate,0.3470254667539242,0.0,0.7030729889348903,1.9206862072372073,0.7426961657315054
pitcher_middle_form_3,0.0,0.0,0.3151000510566754,2.6113994497184643,0.7316248751937849
log_batter_n,0.0,0.0,0.5967812834612359,2.28512834543583,0.7204774072242665
legacy_pitcher_success_shrink_50,2.8418918315586157,0.0,0.0,0.0,0.7104729578896539
asof_pitcher_fastball_rate,0.06994955688007042,0.0,0.9901513066073017,1.635704748530254,0.6739514030044065
pitcher_reliability_200,0.3383796541527523,0.0,1.0693954674163972,1.2696726520454227,0.6693619434036431
pitcher_relative_game_type_success,0.0,1.4092043469273545,0.2935671850377569,0.9340663241780662,0.6592094640357944
pitcher_success_form_1,0.6547126648481518,0.0,1.3735303552639897,0.5119842430345555,0.6350568157866743
