family,season,iterations,brier
legacy_global,2023,40,0.2526693344116211
legacy_global,2023,60,0.25311607122421265
legacy_global,2023,80,0.2533610761165619
legacy_global,2023,100,0.2534419298171997
legacy_global,2023,120,0.2534773051738739
legacy_global,2024,40,0.24823147058486938
legacy_global,2024,60,0.24809610843658447
legacy_global,2024,80,0.24805623292922974
legacy_global,2024,100,0.2480260282754898
legacy_global,2024,120,0.24800747632980347
futures_expert,2024,70,0.247813880443573
futures_expert,2024,100,0.24783267080783844
futures_expert,2024,140,0.24784430861473083
