,global_long,global_recent,global_seasonless,game_type,pitcher
global_long,1.0,0.9848066576763564,0.9771999121881686,0.8564596328350177,0.8604659591667085
global_recent,0.9848066576763564,1.0,0.9771394008626805,0.8569528198613705,0.8623761444987076
global_seasonless,0.9771999121881686,0.9771394008626805,1.0,0.8276100217034164,0.8313661397852145
game_type,0.8564596328350177,0.8569528198613705,0.8276100217034164,1.0,0.8309185410341319
pitcher,0.8604659591667085,0.8623761444987076,0.8313661397852145,0.8309185410341319,1.0
