season,model,rows,brier,brier_skill_train_prior,log_loss,roc_auc,ece_15,target_mean,prediction_mean,mean_gap
2022,Legacy global,247472,0.24345904190675982,0.0236873983875463,0.6797234972364913,0.5779987883405484,0.010142456927645798,0.5289204435249241,0.5344559984043094,0.005535554879385285
2022,Game-type expert,247472,0.24393803032685124,0.02176657249872682,0.6807705034294097,0.5769551183376194,0.008914849817056304,0.5289204435249241,0.5268326092009475,-0.002087834323976523
2022,Walk-forward blend,247472,0.24350600187328098,0.02349908085073671,0.6798310598722976,0.5780316469601483,0.011348645703129684,0.5289204435249241,0.5332682361030158,0.004347792578091703
2022,Walk-forward calibrated,247472,0.24350600187328098,0.02349908085073671,0.6798310598722976,0.5780316469601483,0.011348645703129684,0.5289204435249241,0.5332682361030158,0.004347792578091703
2022,Final-fit calibrated (optimistic),247472,0.24336120823496962,0.024079728226202968,0.6795140762612158,0.5780316469601483,0.0048515528341484026,0.5289204435249241,0.5314182498852197,0.002497806360295618
2023,Legacy global,245525,0.24997698110689529,0.006318550065950945,0.693101242261898,0.5219520710846273,0.0021664216745143627,0.49995723449750534,0.5021236561720197,0.0021664216745143627
2023,Game-type expert,245525,0.2491189535404125,0.009729288417021031,0.6913810224339171,0.5333534903168531,0.004166541597093287,0.49995723449750534,0.5022194654466227,0.0022622309491173165
2023,Walk-forward blend,245525,0.24994053089294724,0.006463443012837189,0.6930282759553992,0.5219534006241539,0.0017216028795503102,0.49995723449750534,0.5016788373770557,0.0017216028795503102
2023,Walk-forward calibrated,245525,0.2499836861271035,0.006291896995044843,0.6931144907765199,0.5219534006241539,0.007267245483815965,0.49995723449750534,0.4926899890136894,-0.007267245483815965
2023,Final-fit calibrated (optimistic),245525,0.24995478530963597,0.00640678039782161,0.6930567174344437,0.5219534006241539,0.004769585040955426,0.49995723449750534,0.4951876494565499,-0.004769585040955426
2024,Legacy global,253507,0.24808638679223793,0.015041824558795436,0.6893058872718496,0.54738494950754,0.009643895714581498,0.4861049201797189,0.4956212248054719,0.00951630462575298
2024,Game-type expert,253507,0.24847862013990937,0.013484570863963818,0.6900953980298045,0.5436825029894983,0.014004026634086985,0.4861049201797189,0.5000434374757962,0.013938517296077257
2024,Walk-forward blend,253507,0.24807548391398357,0.01508511141226343,0.6892840915803102,0.5476098728667091,0.009683956472406626,0.4861049201797189,0.495661285563297,0.009556365383578125
2024,Walk-forward calibrated,253507,0.2479894938752834,0.015426511005846022,0.689110869919255,0.5476098755451624,0.004363022199617305,0.4861049201797189,0.4891907789397888,0.003085858760069893
2024,Final-fit calibrated (optimistic),253507,0.24798273254728914,0.015453354982941647,0.6890973869207246,0.5476098728667091,0.003611760562221052,0.4861049201797189,0.4882859838406375,0.0021810636609185807
