season,model,rows,brier,brier_skill_train_prior,log_loss,roc_auc,target_mean,prediction_mean,best_iteration
2022,legacy_global,247472,0.2434590458869934,0.02368738242612556,0.6797235012054443,0.5779988155041773,0.5289204435249241,0.5344559550285339,110
2022,pitcher,247472,0.24426816403865814,0.02044267957394641,0.6814699172973633,0.5748378053152651,0.5289204435249241,0.5284621119499207,131
2022,regular_hl1_5,217024,0.2486143708229065,0.01164187177886955,0.6903696656227112,0.5424344427854788,0.5036908360365674,0.5095482468605042,106
2022,regular_hl2_5,217024,0.2485821396112442,0.011770005884405799,0.6903049945831299,0.5432014479220872,0.5036908360365674,0.5098279118537903,89
2022,regular_uniform,217024,0.24867695569992065,0.011393067690449676,0.6904953718185425,0.5412943952493079,0.5036908360365674,0.509641170501709,136
2022,futures_hl1,30448,0.2106064409017563,0.09939280409219542,0.61235111951828,0.5200294045966316,0.7087493431424067,0.6500308513641357,420
2022,futures_post2023,30448,0.2106064409017563,0.09939280409219542,0.61235111951828,0.5200294045966316,0.7087493431424067,0.6500308513641357,420
2022,futures_weak_old,30448,0.21174125373363495,0.09454005316006608,0.6148802042007446,0.526230060765598,0.7087493431424067,0.6359450221061707,242
2023,legacy_global,245525,0.2499769777059555,0.006318563584998826,0.6931012868881226,0.5219520704874392,0.49995723449750534,0.5021236538887024,2
2023,pitcher,245525,0.24989502131938934,0.006644347745899615,0.692937970161438,0.5216806017334338,0.49995723449750534,0.5064253807067871,8
2023,regular_hl1_5,219839,0.24901600182056427,0.009154066412253692,0.6911746263504028,0.5354813413366188,0.5031181910398064,0.5024787783622742,73
2023,regular_hl2_5,219839,0.24902883172035217,0.009103015660734792,0.6912003755569458,0.5353032089584117,0.5031181910398064,0.5035647749900818,85
2023,regular_uniform,219839,0.24904470145702362,0.009039869260772382,0.691232442855835,0.5349368336860674,0.5031181910398064,0.5045945644378662,89
2023,futures_hl1,25686,0.25,0.014606428777950597,0.6931472420692444,0.5,0.47290352721326795,0.5,1
2023,futures_post2023,25686,0.25,0.014606428777950597,0.6931472420692444,0.5,0.47290352721326795,0.5,1
2023,futures_weak_old,25686,0.2501387596130371,0.014059497455422454,0.6934247612953186,0.5091568538256154,0.47290352721326795,0.5031977891921997,2
2024,legacy_global,253507,0.24808631837368011,0.01504209619569885,0.6893057227134705,0.5473889564112829,0.4861049201797189,0.4956235885620117,112
2024,pitcher,253507,0.24968434870243073,0.00869756009576339,0.6925151348114014,0.5356620974145672,0.4861049201797189,0.5134673118591309,22
2024,regular_hl1_5,223497,0.24858509004116058,0.012169606657658094,0.6903089284896851,0.543139825167983,0.4897067969592433,0.5033602714538574,128
2024,regular_hl2_5,223497,0.24861185252666473,0.01206325757381721,0.6903620362281799,0.5419832831506992,0.4897067969592433,0.5012606978416443,115
2024,regular_uniform,223497,0.24868494272232056,0.011772810883260654,0.6905091404914856,0.5405578573368719,0.4897067969592433,0.5006433725357056,143
2024,futures_hl1,30010,0.2506694793701172,0.011436300444177205,0.6944862604141235,0.5228877317853792,0.45928023992002664,0.5082523226737976,1
2024,futures_post2023,30010,0.24768556654453278,0.023203939286464803,0.6885055303573608,0.5371313445008125,0.45928023992002664,0.4753512442111969,138
2024,futures_weak_old,30010,0.2506595253944397,0.011475555877450416,0.6944663524627686,0.5245077947371146,0.45928023992002664,0.5081605315208435,1
