season,model,rows,brier,brier_skill_train_prior,log_loss,roc_auc,target_mean,prediction_mean,best_iteration
2022,constant_train_prior,247472,0.24936587062859672,0.0,0.6918804070069513,0.5,0.5289204435249241,0.5431423520563062,0
2022,global_long,247472,0.24354737997055054,0.023333147568987855,0.6799029111862183,0.5769797332709861,0.5289204435249241,0.5348686575889587,161
2022,global_recent,247472,0.24354474246501923,0.023343724419479295,0.6799061298370361,0.5776515341454271,0.5289204435249241,0.5356229543685913,107
2022,global_seasonless,247472,0.24362269043922424,0.02303113964591541,0.6801002025604248,0.5783073940983527,0.5289204435249241,0.5313625335693359,90
2022,pitcher,247472,0.24410906434059143,0.021080696707829527,0.6811040639877319,0.5733476797085504,0.5289204435249241,0.5292182564735413,87
2022,game_type,247472,0.24354909360408783,0.023326275603979263,0.6799196004867554,0.576570232915909,0.5289204435249241,0.5300503969192505,0
2023,constant_train_prior,245525,0.2515665167378201,0.0,0.6962900426820432,0.5,0.49995723449750534,0.5395365039034486,0
2023,global_long,245525,0.24994397163391113,0.006449765751616154,0.6930351853370667,0.5219809822159158,0.49995723449750534,0.5026254057884216,3
2023,global_recent,245525,0.24995315074920654,0.006413277925595318,0.693053662776947,0.5217727040795623,0.49995723449750534,0.5024927258491516,3
2023,global_seasonless,245525,0.24997404217720032,0.006330232581307493,0.6930958032608032,0.5202755446005173,0.49995723449750534,0.5033873915672302,4
2023,pitcher,245525,0.24996717274188995,0.006357539217339392,0.6930816173553467,0.5236132050483148,0.49995723449750534,0.5022780299186707,2
2023,game_type,245525,0.24914002418518066,0.009645530669601388,0.6914232969284058,0.5329447955595449,0.49995723449750534,0.5041599273681641,0
2024,constant_train_prior,253507,0.25187504706086583,0.0,0.6969036043721831,0.5,0.4861049201797189,0.5315815109059132,0
2024,global_long,253507,0.24954374134540558,0.009255802599996699,0.6922345161437988,0.5316296787573895,0.4861049201797189,0.5022149085998535,10
2024,global_recent,253507,0.24964605271816254,0.00884960367735299,0.6924401521682739,0.529799345969759,0.4861049201797189,0.5032100677490234,11
2024,global_seasonless,253507,0.2499888837337494,0.007488488237029078,0.6931250691413879,0.5266749716992576,0.4861049201797189,0.5017709136009216,2
2024,pitcher,253507,0.24867761135101318,0.012694531463769754,0.6904944777488708,0.5397686094694122,0.4861049201797189,0.5007739663124084,103
2024,game_type,253507,0.24861229956150055,0.012953833805445791,0.6903619170188904,0.5411296813622166,0.4861049201797189,0.49979257583618164,0
2022,walk_forward_blend,247472,0.24352864921092987,0.023408261134342467,0.6798840165138245,0.5778679069975152,0.5289204435249241,0.5322245359420776,0
2022,walk_forward_calibrated,247472,0.24352864921092987,0.023408261134342467,0.6798840165138245,0.5778679069975152,0.5289204435249241,0.5322245359420776,0
2023,walk_forward_blend,245525,0.2494821548461914,0.00828552988155018,0.6921107769012451,0.5283007967697546,0.49995723449750534,0.5032410025596619,0
2023,walk_forward_calibrated,245525,0.2494528591632843,0.008401982910701267,0.6920518279075623,0.5283007934852207,0.49995723449750534,0.49433574080467224,0
2024,walk_forward_blend,253507,0.24874790012836456,0.012415469372579757,0.6906359791755676,0.5403083556985362,0.4861049201797189,0.5006511807441711,0
2024,walk_forward_calibrated,253507,0.24856263399124146,0.013151017174098723,0.6902632713317871,0.5403083556362466,0.4861049201797189,0.4949886202812195,0
