season,model,rows,brier,brier_skill_train_prior,log_loss,roc_auc,ece_15,target_mean,prediction_mean,mean_gap
2022,Direct success,247472,0.24343408607709838,0.023787475553673887,0.6796656468195365,0.5778118404484354,0.009955089966323818,0.5289204435249241,0.5348356951182496,0.00591525159332551
2022,Structured formula,247472,0.24454119915390782,0.019347761834957455,0.6820137973868439,0.5700424702655255,0.010426241474671413,0.5289204435249241,0.5251768642192436,-0.003743579305680478
2022,Structured logistic,247472,0.24454119915390782,0.019347761834957455,0.6820137973868439,0.5700424702655255,0.010426241474671413,0.5289204435249241,0.5251768642192436,-0.003743579305680478
2022,Physics command,247472,0.24432833673046014,0.020201376737875365,0.6816007132407973,0.5744737352938594,0.01160423062079885,0.5289204435249241,0.5237997847870488,-0.005120658737875261
2022,Futures anchor,247472,0.24368876972925138,0.022766150335788216,0.6802357627579864,0.5777235406985537,0.0127122966243756,0.5289204435249241,0.531166530691924,0.0022460871669999216
2022,Walk-forward blend,247472,0.24343408607709838,0.023787475553673887,0.6796656468195365,0.5778118404484354,0.009955089966323818,0.5289204435249241,0.5348356951182496,0.00591525159332551
2022,Walk-forward calibrated,247472,0.24343408607709838,0.023787475553673887,0.6796656468195365,0.5778118404484354,0.009955089966323818,0.5289204435249241,0.5348356951182496,0.00591525159332551
2023,Direct success,245525,0.24997697806118138,0.006318562172943354,0.6931012361702259,0.5219520710846273,0.0021664439151006243,0.49995723449750534,0.502123678412606,0.0021664439151006243
2023,Structured formula,245525,0.25219602954354,-0.002502371197419473,0.6976316778843589,0.5190475078224619,0.04563128335688252,0.49995723449750534,0.4766740950087242,-0.023283139488781135
2023,Structured logistic,245525,0.2503445901354178,0.004857270427907401,0.6938407223424231,0.5186248983859422,0.01943893313037242,0.49995723449750534,0.5193961676278778,0.019438933130372427
2023,Physics command,245525,0.24996796356025067,0.0063543956417515535,0.6930832045288022,0.525989860796605,0.0021323450548004774,0.49995723449750534,0.5020895795523058,0.0021323450548004774
2023,Futures anchor,245525,0.24986906879138673,0.006747511427374953,0.6928853123267292,0.527903677705367,0.0007714064756560446,0.49995723449750534,0.5007286409731614,0.0007714064756560446
2023,Walk-forward blend,245525,0.24994541469674125,0.006444029444380828,0.6930380512922625,0.5232835498465904,0.0018139936265397227,0.49995723449750534,0.5017712281240451,0.0018139936265397227
2023,Walk-forward calibrated,245525,0.2499957711152198,0.00624385805777683,0.6931386630613409,0.5232835498465904,0.0075470444532236836,0.49995723449750534,0.49241019004428166,-0.0075470444532236836
2024,Direct success,253507,0.24809020263689152,0.015026674806177587,0.6893137540178849,0.5473083333495224,0.009329578771979694,0.4861049201797189,0.4952781880282828,0.00917326784856387
2024,Structured formula,253507,0.24885396160201606,0.01199438171467504,0.690854543617948,0.5365784797638594,0.008804282890454979,0.4861049201797189,0.4773006372892639,-0.008804282890454984
2024,Structured logistic,253507,0.25028316027394854,0.00632014487140764,0.6937135928163239,0.5330555730180324,0.028498164731264063,0.4861049201797189,0.5146030849109829,0.028498164731264042
2024,Physics command,253507,0.24892461985884884,0.011713852707703976,0.6909901389079198,0.5369616138427091,0.013896026069380514,0.4861049201797189,0.4999900193185346,0.013885099138815693
2024,Futures anchor,253507,0.24808275375642466,0.015056248519627058,0.6892989305517564,0.5473114392963461,0.008537215777639807,0.4861049201797189,0.49459393821116837,0.008489018031449469
2024,Walk-forward blend,253507,0.24803878479431252,0.015230815085967131,0.6892108399269625,0.5479154231184498,0.009401781671519392,0.4861049201797189,0.4936860258848416,0.007581105705122715
2024,Walk-forward calibrated,253507,0.2479638457284729,0.01552833985753177,0.6890599268744111,0.5479154231184498,0.0037514964800126737,0.4861049201797189,0.48774847638234814,0.0016435562026292372
