candidate,brier_2022,brier_2022_r,brier_2022_f,brier_2023,brier_2023_r,brier_2023_f,brier_2024,brier_2024_r,brier_2024_f,score_primary,weighted_primary
identity_eta_0.00,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994541469674125,0.24983640201971055,0.2508784224794148,0.24803878479431252,0.24811927830857644,0.24743931598533378,0.2492297961133335,0.24792006895745902
identity_eta_0.25,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994541469674125,0.24983640201971055,0.2508784224794148,0.24803878479431252,0.24811927830857644,0.24743931598533378,0.2492297961133335,0.24792006895745902
identity_eta_0.50,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994541469674125,0.24983640201971055,0.2508784224794148,0.24803878479431252,0.24811927830857644,0.24743931598533378,0.2492297961133335,0.24792006895745902
identity_eta_0.75,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994541469674125,0.24983640201971055,0.2508784224794148,0.24803878479431252,0.24811927830857644,0.24743931598533378,0.2492297961133335,0.24792006895745902
identity_eta_1.00,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994541469674125,0.24983640201971055,0.2508784224794148,0.24803878479431252,0.24811927830857644,0.24743931598533378,0.2492297961133335,0.24792006895745902
affine_eta_0.00,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994541469674125,0.24983640201971055,0.2508784224794148,0.24803878479431252,0.24811927830857644,0.24743931598533378,0.2492297961133335,0.24792006895745902
affine_eta_0.25,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994152521719365,0.24985105287172546,0.2507158516968083,0.2480115211642075,0.24809836447561126,0.2473647627647139,0.24911777827137163,0.24790390711703697
affine_eta_0.50,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.2499486214604242,0.24987700907308835,0.2505615310461727,0.24798994344319922,0.2480829286042644,0.24729744412488572,0.2490259945109343,0.24789416824345162
affine_eta_0.75,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24996670342643293,0.24991427062379915,0.2504154605275077,0.24797405163128766,0.24807297069453602,0.2472373600658492,0.24895444483202153,0.24789085233670285
affine_eta_1.00,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.2499957711152198,0.24996283752385798,0.2502776401408134,0.2479638457284729,0.248068490746426,0.24718451058760438,0.24890312923463334,0.24789395939679082
beta_eta_0.00,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994541469674125,0.24983640201971055,0.2508784224794148,0.24803878479431252,0.24811927830857644,0.24743931598533378,0.2492297961133335,0.24792006895745902
beta_eta_0.25,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994187924513564,0.24984764838843243,0.25074837372877595,0.24802258397417465,0.24810647607022093,0.24739780450766152,0.2491651577655877,0.2479100978709015
beta_eta_0.50,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.249944232747755,0.2498648558047646,0.2506235969060538,0.24800861120450324,0.24809586778801618,0.24735877499505995,0.2491087763485098,0.24790311889836802
beta_eta_0.75,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24995247520459934,0.24988802426870724,0.25050409201124846,0.24799686648529826,0.2480874534619621,0.24732222744752916,0.24906065186209994,0.2478991320398586
beta_eta_1.00,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24996660661566866,0.24991715378026022,0.25038985904435984,0.2479873498165597,0.24808123309205882,0.24728816186506905,0.24902078430635807,0.2478981372953732
