feature,direct_success,reverse_expert,middle_expert,outside_expert,overlap_expert,physics_command,futures_expert,mean_importance
mechanical_drift,0.0,0.6355826541229532,0.12694809650365804,0.7301646774353323,0.4462405420225454,12.225141797564685,0.45273083355341825,2.0881155144575136
expected_extension_drift,0.0,1.2992291992182587,0.5413277093083632,0.04550150510665226,1.5280442231498266,2.4653440316034096,0.20358879855981424,0.8690050667066178
expected_extension_mad,0.0,0.12111512018453094,0.4152681164485931,0.16829307982164582,0.35896503590123274,3.618146963307819,0.0,0.6688269022376888
expected_spin_rate_mean,0.0,0.46169553063722585,0.09376152931574781,0.1369778359677101,0.36102655310352005,1.2530665866347581,2.185977451640641,0.6417864981856576
expected_spin_rate_drift,0.0,0.7436301589631528,0.20423161503734452,0.3599034015282903,0.683553169932663,0.038915417858574296,2.068487396596519,0.5855315942737919
expected_extension_iqr,0.0,0.33448332076284554,0.6900060414002637,0.3648466184271794,1.0175833473651934,1.3355879986063348,0.2568615098849698,0.5713384052066839
expected_spin_rate_median,0.0,0.20563080148976548,0.08071912181576149,0.25202903199674165,0.2556514339932737,0.7526037152021077,2.1750306099295367,0.5316663877753124
expected_rel_side_drift,0.0,0.46706354604131844,0.32338551403881616,0.33114238458162254,0.6333233326938219,0.9903406440911361,0.0,0.3921793459209593
expected_rel_side_median,0.0,0.3017613385839881,0.0,0.18943388266871114,0.7699386157374406,1.4806210852616701,0.0,0.3916792746074015
expected_rel_speed_drift,0.0,0.5679842559846529,0.10716989191864215,0.18002461245733378,0.11837056644702593,1.6836221432192162,0.0,0.37959592428955297
expected_induced_vert_break_std,0.0,0.14723100204332557,0.13475540128579908,0.3325637349483778,0.41817535236294273,0.380829833902108,0.6427404829075571,0.2937565439214444
expected_zone_speed_iqr,0.0,0.0724017624647806,0.31214177836122076,0.1090361602666247,0.10811448789140451,0.059041836761070936,1.2950227174535416,0.2793941061712347
expected_release_trace,0.0,0.15834001065342734,0.0,0.0,0.45940701551160484,0.11399470726649479,1.2171837794633897,0.27841793041355956
expected_induced_vert_break_median,0.0,0.297894695280967,0.173429734644361,0.24502373779273606,0.20138263005401116,0.305184985169475,0.6270990230095754,0.2642878294215894
expected_extension_std,0.0,0.06470634301331675,0.190602535112901,0.16423208028362413,0.803221818459591,0.608148188340301,0.0,0.26155870931567626
expected_horz_break_drift,0.0,0.29743137500402533,0.24184089748359547,0.40480534989914596,0.5794792009306561,0.30151514037207056,0.0,0.2607245662413562
expected_induced_vert_break_drift,0.0,0.0441401722439254,0.0,0.2523820001761016,0.43998948605425553,0.34812852096603947,0.659469008695606,0.24915845544798973
expected_induced_vert_break_mean,0.0,0.20239772265861822,0.41413769127227723,0.46281033399227783,0.23776757453709438,0.24588206151005987,0.17304538100404868,0.248005823567768
expected_rel_side_std,0.0,0.14831227043117537,0.0,0.2222837724290755,0.23780541285387677,0.21567919792742374,0.9074892039290939,0.24736712251009219
