season,game_type,model,rows,brier,target_mean,prediction_mean
2022,R,direct,217024,0.24862836353873066,0.5036908360365674,0.5128262639045715
2022,R,structured_formula,217024,0.24913236467131106,0.5036908360365674,0.5097309913315936
2022,R,structured_logit,217024,0.24913236467131106,0.5036908360365674,0.5097309913315936
2022,R,physics,217024,0.24882339120169572,0.5036908360365674,0.5079114437103271
2022,R,futures_anchor,217024,0.24862836353873066,0.5036908360365674,0.5128262639045715
2022,R,blend_walk_forward,217024,0.24862836353873066,0.5036908360365674,0.5128262464313561
2022,R,calibrated_walk_forward,217024,0.24862836353873066,0.5036908360365674,0.5128262464313561
2022,F,direct,30448,0.2064108703705402,0.7087493431424067,0.6917123198509216
2022,F,structured_formula,30448,0.21181678030048803,0.7087493431424067,0.6352703060732027
2022,F,structured_logit,30448,0.21181678030048803,0.7087493431424067,0.6352703060732027
2022,F,physics,30448,0.21228896791919402,0.7087493431424067,0.6370469331741333
2022,F,futures_anchor,30448,0.2084808609369358,0.7087493431424067,0.66189044713974
2022,F,blend_walk_forward,30448,0.2064108703705402,0.7087493431424067,0.6917122910136903
2022,F,calibrated_walk_forward,30448,0.2064108703705402,0.7087493431424067,0.6917122910136903
2023,R,direct,219839,0.2498370802734505,0.5031181910398064,0.5003846287727356
2023,R,structured_formula,219839,0.25091610141078763,0.5031181910398064,0.46323755335356864
2023,R,structured_logit,219839,0.24977433484178962,0.5031181910398064,0.5156468904606641
2023,R,physics,219839,0.24982834499305326,0.5031181910398064,0.5003453493118286
2023,R,futures_anchor,219839,0.2498370802734505,0.5031181910398064,0.5003846287727356
2023,R,blend_walk_forward,219839,0.24983640201971055,0.5031181910398064,0.5003824451891877
2023,R,calibrated_walk_forward,219839,0.24996283752385798,0.5031181910398064,0.4908766762274668
2023,F,direct,25686,0.25117432251952304,0.47290352721326795,0.51700758934021
2023,F,structured_formula,25686,0.2631505620038736,0.47290352721326795,0.5916735453290443
2023,F,structured_logit,25686,0.25522523926318885,0.47290352721326795,0.5514851399537779
2023,F,physics,25686,0.25116291825129283,0.47290352721326795,0.5170177221298218
2023,F,futures_anchor,25686,0.2501428492085238,0.47290352721326795,0.5036728382110596
2023,F,blend_walk_forward,25686,0.2508784224794148,0.47290352721326795,0.5136574171615013
2023,F,calibrated_walk_forward,25686,0.2502776401408134,0.47290352721326795,0.5055350885872529
2024,R,direct,223497,0.24817687147332357,0.4897067969592433,0.49818724393844604
2024,R,structured_formula,223497,0.2486380564410496,0.4897067969592433,0.4735851543433478
2024,R,structured_logit,223497,0.25011913919918277,0.4897067969592433,0.5142454340571645
2024,R,physics,223497,0.24859711602897994,0.4897067969592433,0.4975275695323944
2024,R,futures_anchor,223497,0.24817687147332357,0.4897067969592433,0.49818724393844604
2024,R,blend_walk_forward,223497,0.24811927830857644,0.4897067969592433,0.495845621718787
2024,R,calibrated_walk_forward,223497,0.248068490746426,0.4897067969592433,0.49008873275176906
2024,F,direct,30010,0.24744474362536018,0.45928023992002664,0.47361329197883606
2024,F,structured_formula,30010,0.2504618974820735,0.45928023992002664,0.5049713901037729
2024,F,structured_logit,30010,0.25150469370103734,0.45928023992002664,0.5172666601484328
2024,F,physics,30010,0.2513636776217347,0.45928023992002664,0.5183287858963013
2024,F,futures_anchor,30010,0.24738181982194452,0.45928023992002664,0.46783313155174255
2024,F,blend_walk_forward,30010,0.24743931598533378,0.45928023992002664,0.4776026140188203
2024,F,calibrated_walk_forward,30010,0.24718451058760438,0.45928023992002664,0.47031961007790085
