candidate,sources,brier_2022,brier_2022_r,brier_2022_f,brier_2023,brier_2023_r,brier_2023_f,brier_2024,brier_2024_r,brier_2024_f,score_primary,weighted_primary,score_balanced,weighted_balanced,score_aggressive,weighted_aggressive
direct,direct,0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24997697806118138,0.2498370802734505,0.25117432251952304,0.24809020263689152,0.24817687147332357,0.24744474362536018,0.24933372207730156,0.24795781778020953,0.24910091624931188,0.24772501195221985,0.24956652790529119,0.24819062360819916
failure,"direct,structured_formula,structured_logit",0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24997697806118138,0.2498370802734505,0.25117432251952304,0.2480616172843577,0.24812305828133818,0.2476040405265383,0.24942348384260069,0.2479420958363159,0.24919210728223773,0.24771071927595295,0.24965486040296364,0.24817347239667886
physics,"direct,structured_formula,structured_logit,physics",0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24997581646389627,0.24983594368659737,0.25117294686522806,0.24810514069460027,0.24812872691902213,0.24792948423343378,0.2497780694238995,0.2479656852327638,0.24954451669302438,0.2477321325018887,0.25001162215477457,0.24819923796363888
full,"direct,structured_formula,structured_logit,physics,futures_anchor",0.24343408607709838,0.24862836353873066,0.2064108703705402,0.24994541469674125,0.24983640201971055,0.2508784224794148,0.24803878479431252,0.24811927830857644,0.24743931598533378,0.2492297961133335,0.24792006895745902,0.2489995611774728,0.2476898340215983,0.2494600310491942,0.2481503038933197
