season,game_type,rows,brier,target_mean,prediction_mean
2022,F,30448,0.2064108703705402,0.7087493431424067,0.6917122910136903
2022,R,217024,0.24862836353873066,0.5036908360365674,0.5128262464313561
2023,F,25686,0.2502776401408134,0.47290352721326795,0.5055350885872529
2023,R,219839,0.24996283752385798,0.5031181910398064,0.4908766762274668
2024,F,30010,0.24718451058760438,0.45928023992002664,0.47031961007790085
2024,R,223497,0.248068490746426,0.4897067969592433,0.49008873275176906
