feature,direct_success,reverse_expert,middle_expert,outside_expert,overlap_expert,physics_command,futures_expert,mean_importance
game_type,22.070490532449202,2.464588558425805,0.9286615952506118,0.1781557378272267,1.2993925972828213,16.350881584207734,0.0,6.184595800777629
eb_reverse_pitcher_batter_hand,0.0,16.512166885393263,0.1921694209458616,0.8032740639900915,1.1981119898167178,8.898499605589665,8.119105301389606,5.103332466732171
balls_before,0.31139274295993546,6.49206504212026,4.032871599866257,14.355501702325594,0.9182391189366063,2.0490223837139134,0.0,4.022727512846081
season,24.810751406601643,0.4128491580097207,1.8512844732129887,0.0,0.09167248417782944,0.0,0.0,3.8809367888574546
batter_team_id,4.169318814424305,0.5150361425644873,11.272443506730458,1.2858886916527759,6.3436323019269,0.0,0.27982383125379034,3.409449041221816
same_hand,4.081074096949451,4.320326538381929,0.14393857664442464,2.7308419715087022,1.3786107569641357,0.0,9.375819947854138,3.1472302697575403
is_two_strike,0.29986651891752086,3.5762582128136677,3.114155403943785,13.440120754926152,0.6071327964600434,0.0,0.0,3.005361955294453
count_state_code,0.41771822586154284,7.2012369293343825,3.40698582529983,6.3152582096325025,3.42857259720315,0.0,0.18332691362433537,2.9932998144222487
pitcher_team_id,3.176433253417112,0.6645543971948598,9.469727050874003,0.6504839647212085,6.581240111695309,0.0,0.0,2.934634111128928
strikes_before,0.08281624907535065,4.503217696634116,3.1868545781853146,10.837329243044705,0.4936208639663188,1.014542519232552,0.2639663151175868,2.9117639236079915
eb_reverse_pitcher_game_type,0.0,6.052436360954329,0.3780457629258922,0.1265801402356304,1.0726307488883158,7.4954388243619485,0.5475398648848258,2.238953100321563
eb_outside_only_pitcher_batter_hand,0.0,1.4027886224901054,0.9549150419236464,10.648979630812061,0.2423766559152031,0.8564662842935123,1.1599100878738737,2.180776617615486
recent_game_type_prior,0.0,3.088919037982401,6.382818876329495,0.1374857598001019,5.136860480518858,0.0,0.0,2.1065834506615504
mechanical_drift,0.0,0.6355826541229532,0.12694809650365804,0.7301646774353323,0.4462405420225454,12.225141797564685,0.45273083355341825,2.0881155144575136
asof_pitcher_success_rate,7.405696563704188,0.0,0.0,0.022049849804020798,0.07722060476219153,4.633276366923026,0.30424079143666444,1.7774977395185843
asof_pitcher_ball_rate,2.971782545735853,1.5786993767209827,0.0,1.5095229083113195,0.3660547319710886,5.0099134550446545,0.8445982025141575,1.7543673171854366
asof_pitcher_prev5_game_success_rate,3.7231940396364203,0.5233992369058268,0.2596866606665243,0.10533081817354745,0.07725406407732546,0.0,6.656345450248166,1.6207443242439727
eb_middle_pitcher_game_type,0.0,0.0,4.399544143913014,0.1138023504068045,1.2855906408633935,3.1984331693078425,0.6848263890626629,1.3831709562219596
hand_matchup_code,2.7751306811791046,1.0239914264106338,0.0,0.20134927847585307,1.1790350935288074,1.9987087371313101,2.229911342001686,1.3440180798181995
asof_batter_middle_rate,0.4220702658206514,0.0,6.995381478432694,0.21641379597336513,0.5418817739025907,0.0,0.5694375858299652,1.2493121285656095
eb_reverse_middle_pitcher,0.0,2.337307648845976,0.4665875398481836,0.2055047931054678,2.143701460703845,1.648149378544407,1.7545651823551034,1.222259429057569
eb_outside_only_pitcher_game_type,0.0,0.22900043340790371,0.18294169490092463,2.0871475688410293,0.3663929064390211,2.3188330692137886,1.7892341459792855,0.9962214026831361
asof_pitcher_reverse_rate,2.9429212329134526,1.7590383319503153,0.08594019644323671,0.1732078388570636,0.21133931421445237,0.18523033492756633,0.8098568965807964,0.881076306555269
expected_extension_drift,0.0,1.2992291992182587,0.5413277093083632,0.04550150510665226,1.5280442231498266,2.4653440316034096,0.20358879855981424,0.8690050667066178
li_x_three_ball,0.30320271241092084,0.8022784151018838,1.9443648490713747,1.9038845356396885,0.35291559342615153,0.0,0.29108743571435985,0.7996762201949112
legacy_batter_relative_success,3.0926834711602016,0.0413085170500017,0.1480303471562368,0.0,0.23341843157674647,0.0,1.8600768417218472,0.7679310869521477
eb_middle_pitcher_batter_hand,0.0,0.09695801045812502,2.807751033057899,0.12743566101282505,1.0132554623113106,1.0855346985383172,0.20672001047022887,0.7625221251212437
li_x_runners,0.15085547632252755,0.5908671036966611,1.5290138842190417,1.388787076490066,0.4144216408945434,0.0,0.9409977428219316,0.7164204177778244
asof_pitcher_prev5_game_middle_rate,0.0,0.0762349087081693,3.1680034421030356,0.12054510878568749,1.378408566894371,0.0,0.23876724739867083,0.7117084676985621
expected_extension_mad,0.0,0.12111512018453094,0.4152681164485931,0.16829307982164582,0.35896503590123274,3.618146963307819,0.0,0.6688269022376888
pitcher_id,1.9683953408330537,0.9515139394130446,0.0,0.0,0.0,0.0,1.7225045820810758,0.6632019803324535
eb_reverse_middle_pitcher_batter_hand,0.0,0.14269089465405993,0.06806853308554414,0.13584089750287226,3.5765008180475286,0.0602991551385312,0.6206198864987823,0.6577171692753312
expected_spin_rate_mean,0.0,0.46169553063722585,0.09376152931574781,0.1369778359677101,0.36102655310352005,1.2530665866347581,2.185977451640641,0.6417864981856576
log_batter_n,0.0,0.11974774050774882,1.8558332798544648,0.6358366003709691,1.2195990175528926,0.0,0.6032400058183538,0.6334652348720613
outs_before,0.0,1.3129419547317207,0.44926877137826765,2.1715584844270257,0.14086250163759367,0.17231819562125286,0.0,0.6067071296851231
expected_spin_rate_drift,0.0,0.7436301589631528,0.20423161503734452,0.3599034015282903,0.683553169932663,0.038915417858574296,2.068487396596519,0.5855315942737919
legacy_pitcher_success_shrink_50,2.8411983391985327,0.0473773433507656,0.09556658065519358,0.0,0.1952641461179894,0.0,0.8221859877478942,0.5716560567243393
expected_extension_iqr,0.0,0.33448332076284554,0.6900060414002637,0.3648466184271794,1.0175833473651934,1.3355879986063348,0.2568615098849698,0.5713384052066839
is_three_ball,0.7057845389638788,0.5309214277192027,0.4556466071220353,1.55982285531537,0.1289254577522551,0.0,0.47478461100858566,0.5508407854116182
pitcher_middle_form_5,0.0627829106158405,0.1784687304516192,1.3116517579761884,0.09532718536475886,1.6867473412562353,0.0,0.4232967523258983,0.5368963825700772
expected_spin_rate_median,0.0,0.20563080148976548,0.08071912181576149,0.25202903199674165,0.2556514339932737,0.7526037152021077,2.1750306099295367,0.5316663877753124
