season,model,rows,brier,target_mean,prediction_mean
2022,direct,247472,0.24343408607709838,0.5289204435249241,0.5348357558250427
2022,structured_formula,247472,0.24454119915390782,0.5289204435249241,0.5251768642192436
2022,structured_logit,247472,0.24454119915390782,0.5289204435249241,0.5251768642192436
2022,physics,247472,0.24432833673046014,0.5289204435249241,0.5237998366355896
2022,futures_anchor,247472,0.24368876972925138,0.5289204435249241,0.5311665534973145
2022,blend_walk_forward,247472,0.24343408607709838,0.5289204435249241,0.5348356951182496
2022,calibrated_walk_forward,247472,0.24343408607709838,0.5289204435249241,0.5348356951182496
2023,direct,245525,0.24997697806118138,0.49995723449750534,0.5021237134933472
2023,structured_formula,245525,0.25219602954354,0.49995723449750534,0.4766740950087242
2023,structured_logit,245525,0.2503445901354178,0.49995723449750534,0.5193961676278778
2023,physics,245525,0.24996796356025067,0.49995723449750534,0.5020896196365356
2023,futures_anchor,245525,0.24986906879138673,0.49995723449750534,0.5007286071777344
2023,blend_walk_forward,245525,0.24994541469674125,0.49995723449750534,0.5017712281240451
2023,calibrated_walk_forward,245525,0.2499957711152198,0.49995723449750534,0.49241019004428166
2024,direct,253507,0.24809020263689152,0.4861049201797189,0.49527817964553833
2024,structured_formula,253507,0.24885396160201606,0.4861049201797189,0.4773006372892639
2024,structured_logit,253507,0.25028316027394854,0.4861049201797189,0.5146030849109829
2024,physics,253507,0.24892461985884884,0.4861049201797189,0.4999900162220001
2024,futures_anchor,253507,0.24808275375642466,0.4861049201797189,0.49459391832351685
2024,blend_walk_forward,253507,0.24803878479431252,0.4861049201797189,0.4936860258848416
2024,calibrated_walk_forward,253507,0.2479638457284729,0.4861049201797189,0.48774847638234814
