,direct,structured_formula,structured_logit,physics,futures_anchor
direct,1.0,0.7503173629643233,0.7819708612528339,0.8659511175950313,0.9787421802220175
structured_formula,0.7503173629643233,1.0,0.755945590780472,0.7495583374804888,0.7235784460334664
structured_logit,0.7819708612528339,0.755945590780472,1.0,0.7497232588734858,0.749856355454378
physics,0.8659511175950313,0.7495583374804888,0.7497232588734858,1.0,0.8534753981759787
futures_anchor,0.9787421802220175,0.7235784460334664,0.749856355454378,0.8534753981759787,1.0
